Make,Model,Manufacturer,Type,Action,Class,Calibre,Shots,Barrel,Reg_date,Client,Pcode,Prov,Country,Lost,Stolen,Recovered,lossstolen_year
Remington,700 LV SF,Remington,Non-restricted,Bolt Action,Rifle,204 RUGER,5,559,06-04-13,Individual,T0,AB,Canada,,,"
",
Tikka,M695,SAKO,Non-restricted,Bolt Action,Rifle,300 WIN MAG,3,620,05-12-29,Individual,J1,QC,Canada,,,"
",
Marlin,336,Marlin Firearms,Non-restricted,Lever Action,Rifle,30-30 WIN,5,511,05-12-29,Individual,V1,BC,Canada,,,"
",
Browning,BLR,Fabrique Nationale Herstal (FN),Non-restricted,Lever Action,Rifle,308 WIN,4,508,05-12-29,Individual,J0,QC,Canada,,,"
",
Mossberg,352,Mossberg,Non-restricted,Semi-Automatic,Rifle,22 LR,7,457,05-12-29,Individual,L6,ON,Canada,,,"
",
Remington,870 Magnum,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3""",4,533,05-12-29,Individual,L6,ON,Canada,,,"
",
Marlin,336,,Non-restricted,Lever Action,Rifle,30-30,Multi-shots,> 470mm,02-12-26,Individual,T0,AB,Canada,,,"
",
HUSQVARNA,,,Non-restricted,Bolt Action,Rifle,7MM MAG.,Multi-shots,> 470mm,02-12-26,Individual,R0,MB,Canada,,,"
",
Winchester,94XTR,,Non-restricted,Lever Action,Rifle,0.375,1,> 470mm,03-03-13,Individual,V8,BC,Canada,,,"
",
Savage,99F,,Non-restricted,Lever Action,Rifle,300,Multi-shots,> 470mm,02-12-26,Individual,V0,BC,Canada,,,"
",
Champion,Ivor Johnson,,Non-restricted,Hinge Break,Shotgun,12  G  Choke Bore,1,> 470mm,02-12-26,Individual,L0,ON,Canada,,,"
",
SAKO,M995,SAKO,Non-restricted,Bolt Action,Rifle,300 WIN MAG                   ,4,620,01-08-03,Individual,V0,BC,Canada,,,"
",
Lee Enfield                                                       ,No 5 MARK 1,Fazakerley                                                        ,Non-restricted,Bolt Action,Rifle,303 BRITISH                   ,10,473,01-11-08,Individual,K9,ON,Canada,,,"
",
US CARBINE,M1,STANDARD PRODUCTS COMPANY,Restricted,Semi-Automatic,Rifle,30 CARBINE,5,457,01-09-13,Individual,N4,ON,Canada,,,"
",
Remington,870 Express Super Magnum,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3 1/2""",3,584,06-03-30,Individual,K9,ON,Canada,,,"
",
"Beesley, F",Side By Side,"Beesley, F",Non-restricted,Multi Barrel,Shotgun,"12 GA X 2 3/4""",2,635,05-10-27,Individual,K1,ON,Canada,,,"
",
Remington,870 Police,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3""",4,508,05-11-07,Public Agency,T5,AB,Canada,,,"
",
Remington,11-87 Sportsman,Remington,Non-restricted,Semi-Automatic,Shotgun,"12 GA X 3""",4,660,06-09-07,Individual,T5,AB,Canada,,,"
",
Remington                                                         ,14,Remington,Non-restricted,Pump Action,Rifle,35 REM                        ,4,559,05-02-03,Individual,T3,AB,Canada,,,"
",
Ruko,Singlegoose,Pedretti,Non-restricted,Single Shot,Shotgun,"10 GA X 3 1/2""                ",1,711,04-04-29,Individual,G0,QC,Canada,,,"
",
Browning,A-Bolt,Miroku Firearms Manufacturing,Non-restricted,Bolt Action,Rifle,270 WIN                       ,4,660,99-10-29,Individual,V0,BC,Canada,,,"
",
SAKO,75 V,SAKO,Non-restricted,Bolt Action,Rifle,300 WIN MAG                   ,4,620,99-11-26,Business,V8,BC,Canada,,,"
",
Carl Gustaf,ED 6555,Forenade Fabriksverken (FFV),Non-restricted,Bolt Action,Rifle,6.5X55 MAUSER                 ,5,597,03-01-30,Individual,Y1,YT,Canada,,,"
",
Winchester,Model 64,,Non-restricted,Lever Action,Rifle,30-30 cal,Multi-shots,> 470mm,02-12-26,Individual,B0,NS,Canada,,,"
",
Winchester,1886,,Non-restricted,Lever Action,Rifle,40-65,Multi-shots,> 470mm,02-12-26,Individual,T8,AB,Canada,,,"
",
Lee-Enfield,Army,,Non-restricted,Bolt Action,Rifle,303,Multi-shots,> 470mm,02-12-26,Individual,P0,ON,Canada,,,"
",
Cooey,39,,Non-restricted,Bolt Action,Rifle,22,1,> 470mm,02-12-26,Individual,L0,ON,Canada,,,"
",
Remington                                                         ,700 Mountain Rifle DM                                             ,Remington,Non-restricted,Bolt Action,Rifle,25-06 REM                     ,4,560,99-11-26,Business,V8,BC,Canada,,,"
",
Ruger,Vaquero,Sturm Ruger,Restricted,Revolver,Handgun,45 COLT                       ,6,140,00-03-07,Individual,T9,AB,Canada,,,"
",
FN-Browning,1910,Fabrique Nationale Herstal (FN),Prohibited,Semi-Automatic,Handgun,7.65MM                        ,7,89,05-12-01,Individual,T1,AB,Canada,,,"
",
Glock,17,Glock,Restricted,Semi-Automatic,Handgun,9MM LUGER                     ,10,114,01-11-15,Individual,K7,ON,Canada,,,"
",
Norinco,EM 321,Chinese State Arsenals,Non-restricted,Pump Action,Rifle,22 LR                         ,10,500,99-11-13,Individual,G8,QC,Canada,,,"
",
Thompson/Center,Hawken Silver Elite Cap Lock Rifle,Thompson/Center Arms,Non-restricted,Single Shot,Rifle,50 PERCUSSION                 ,1,711,01-02-14,Individual,J0,QC,Canada,,,"
",
Harrington & Richardson                                         ,M4 Survival Rifle,Harrington & Richardson,Restricted,Bolt Action,Rifle,22 HORNET                     ,5,355,01-04-25,Business,Y1,YT,Canada,,,"
",
Colt,M1911A1 US Army,Ithaca,Restricted,Semi-Automatic,Handgun,45 AUTO                       ,7,127,01-01-12,Individual,L9,ON,Canada,,,"
",
Browning,81BLR,Miroku Firearms Manufacturing,Non-restricted,Lever Action,Rifle,308 WIN,4,508,05-10-27,Individual,P0,ON,Canada,,,"
",
